tag,c,L,t,rho,se,n,seconds
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008025853950860371,4.1428696540355407e-05,467240,1800.6
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0008986896525066677,4.165700372340006e-05,517420,1800.7
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0009445353275687466,4.286887994084755e-05,513480,1800.9
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0007849695061971277,3.928220133683866e-05,508300,1800.6
2^10^17,0.75,1.3862943611198906e+17,39.470580840877055,0.0009319879335555175,5.537510960572029e-05,303652,1035.4
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008340366380380281,3.216024200499641e-05,805720,1800.5
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007497408147267808,3.0776621388642105e-05,790940,1800.5
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.000805184603299293,3.245510285457836e-05,763800,1800.7
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007706068528966561,3.255153355151734e-05,726700,1800.7
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008592482243090101,3.379214194017036e-05,751820,1800.6
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.000806246178928062,3.203248781567049e-05,785120,1800.9
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007802999594649372,3.1426912918572735e-05,789440,1800.7
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007979877939787033,3.1906773527015745e-05,783220,1800.5
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008247553691701614,3.2361126852078874e-05,786900,1800.9
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008032077715095247,3.1861524709167255e-05,790580,1800.7
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008185486941292927,3.22171296114003e-05,787980,1800.6
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008300375343224929,3.23202498292713e-05,793940,1800.6
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008773059878388127,3.3603688435717e-05,776240,1800.6
